"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 26 00:36:59 GMT 2024","Sat Oct 26 00:37:03 GMT 2024","4668","hil.esp-idf.esp32_devkitc_wrover_espidf","test_settings","","","","test_set_int_range",""
"broken","Sat Oct 26 01:00:31 GMT 2024","Sat Oct 26 01:01:02 GMT 2024","30903","sample.zephyr.esp32_devkitc_wrover","test_sample","","","","test_fw_update",""
"passed","Sat Oct 26 00:30:29 GMT 2024","Sat Oct 26 00:30:44 GMT 2024","15747","hil.esp-idf.esp32s3_devkitc_espidf","test_lightdb","","","","test_lightdb_observed",""
"passed","Sat Oct 26 00:37:35 GMT 2024","Sat Oct 26 00:37:38 GMT 2024","3522","hil.esp-idf.esp32_devkitc_wrover_espidf","test_settings","","","","test_set_bool",""
"passed","Sat Oct 26 01:13:03 GMT 2024","Sat Oct 26 01:13:29 GMT 2024","25779","sample.zephyr.nrf9160dk","test_sample","","","","test_rpc",""
"passed","Sat Oct 26 00:25:11 GMT 2024","Sat Oct 26 00:25:11 GMT 2024","241","hil.zephyr.native_sim_32","test_rpc","","","","test_string_return",""
"passed","Sat Oct 26 00:26:05 GMT 2024","Sat Oct 26 00:26:07 GMT 2024","2750","hil.zephyr.native_sim_32","test_settings","","","","test_set_float",""
"passed","Sat Oct 26 00:45:20 GMT 2024","Sat Oct 26 00:45:25 GMT 2024","5643","hil.zephyr.mimxrt1024_evk","test_rpc","","","","test_malformed_response",""
"passed","Sat Oct 26 00:27:39 GMT 2024","Sat Oct 26 00:27:56 GMT 2024","16825","sample.zephyr.native_sim_32","test_sample","","","","test_logging",""
"passed","Sat Oct 26 00:25:41 GMT 2024","Sat Oct 26 00:25:41 GMT 2024","204","hil.linux.linux","test_settings","","","","test_unrecognized_key",""
"passed","Sat Oct 26 00:47:23 GMT 2024","Sat Oct 26 00:47:27 GMT 2024","4080","hil.zephyr.mimxrt1024_evk","test_settings","","","","test_set_int_range_min",""
"passed","Sat Oct 26 00:45:14 GMT 2024","Sat Oct 26 00:45:16 GMT 2024","1512","hil.zephyr.mimxrt1024_evk","test_rpc","","","","test_many_args",""
"passed","Sat Oct 26 00:25:10 GMT 2024","Sat Oct 26 00:25:11 GMT 2024","308","hil.zephyr.native_sim_32","test_ota","","","","test_manifest",""
"passed","Sat Oct 26 00:43:08 GMT 2024","Sat Oct 26 00:43:37 GMT 2024","29316","hil.zephyr.mimxrt1024_evk","test_connection","","","","test_connect",""
"passed","Sat Oct 26 00:25:06 GMT 2024","Sat Oct 26 00:25:08 GMT 2024","2003","hil.linux.linux","test_settings","","","","test_set_int_range_min",""
"passed","Sat Oct 26 01:02:08 GMT 2024","Sat Oct 26 01:02:38 GMT 2024","29692","sample.zephyr.esp32_devkitc_wrover","test_sample","","","","test_lightdb_get",""
"passed","Sat Oct 26 01:06:43 GMT 2024","Sat Oct 26 01:06:52 GMT 2024","8708","sample.esp-idf.esp32_devkitc_wrover_espidf","test_sample","","","","test_settings",""
